advantage_mean,ar_examples,ar_loss,ar_prediction_kl,ar_update_finite,ar_vector_mse,av_loss,av_sft_anchor_loss,av_update_finite,cap_hit_rate,policy_kl_k2,policy_loss,response_tokens_mean,reward_mean,reward_std,score_prediction_kl,score_vector_mse,step,valid_format_rate
-0.0039061508141458035,510,0.9381526026071285,4.67114018645941,True,0.8822138660094319,0.2008815446883091,0.9743813872337341,True,0.0,0.041982456343248487,0.0039061443239916116,60.396484375,-0.9409570693969727,0.4619336724281311,4.670867919921875,0.8811153173446655,11,0.99609375
-0.006347696762531996,509,0.8545414609852848,4.220253187453114,True,0.8040022708343851,0.20887110345429394,1.0019544959068298,True,0.001953125,0.04265006020432338,0.006347701317281462,57.671875,-0.8599159121513367,0.29307860136032104,4.218055725097656,0.8030554056167603,12,0.994140625
-0.0024412903003394604,511,0.9271250952713177,5.053572412106389,True,0.8666065937152349,0.20086162697407417,0.9812416136264801,True,0.001953125,0.04344023356679827,0.002441292512230575,57.404296875,-0.9290050268173218,0.4665084779262543,5.053400993347168,0.866047203540802,13,0.998046875
-0.002441439311951399,511,0.8559470299172074,4.337639855312041,True,0.8040021068895865,0.19060292336871498,0.9299387037754059,True,0.001953125,0.04347477783448994,0.0024414437357336283,56.173828125,-0.8588213920593262,0.33495721220970154,4.338082313537598,0.8044297099113464,14,0.998046875
-1.9598519429564476e-07,512,0.8504000790417194,4.386797323822975,True,0.7978664636611938,0.17943505260191162,0.8862927258014679,True,0.0,0.04352628020569682,1.9336584955453873e-07,55.705078125,-0.8504000902175903,0.3469400405883789,4.386796951293945,0.7978664636611938,15,1.0
-0.00390628119930625,510,0.9155941619592556,4.722651545206706,True,0.8590385497785081,0.19245637070562227,0.9311224222183228,True,0.0,0.046512113767676055,0.00390628055902198,54.78125,-0.9194650053977966,0.3873688280582428,4.71865701675415,0.859050989151001,16,0.99609375
-0.001953104860149324,511,0.875190788635769,4.008584073844954,True,0.8271864201224713,0.1869543234934099,0.913860946893692,True,0.0,0.04458062571939081,0.0019531027064658701,55.45703125,-0.8763545155525208,0.355743408203125,4.008122444152832,0.8264025449752808,17,0.998046875
-0.001953126396983862,511,0.9094129348221123,5.008686510784051,True,0.8494319732641754,0.184738213649689,0.9018569886684418,True,0.0,0.04827381786890328,0.001953125,55.818359375,-0.9109780788421631,0.34036707878112793,5.008393287658691,0.8490474820137024,18,0.998046875
-0.007812489289790392,508,0.79001402948785,3.422390590502521,True,0.7490295580052954,0.19059392562267025,0.9017958045005798,True,0.0,0.04844548262190074,0.007812490352080204,56.345703125,-0.7982727289199829,0.27602770924568176,3.4241600036621094,0.7494546175003052,19,0.9921875
-0.0029296595603227615,511,0.9489116676866192,4.425312952052822,True,0.8959168191058763,0.19177395867809538,0.931139200925827,True,0.00390625,0.05232920672278851,0.00292965819244273,56.84765625,-0.9510715007781982,0.4799540042877197,4.4253387451171875,0.8951466679573059,20,0.998046875
7.147900760173798e-08,512,0.8129260987043381,3.851577937602997,True,0.7668019458651543,0.2090049346101296,1.0318992733955383,True,0.0,0.05250298685859889,-6.944173946976662e-08,56.986328125,-0.8129260540008545,0.29670095443725586,3.8515777587890625,0.7668019533157349,21,1.0
-0.004394500516355038,510,0.8341857026605044,4.0250904316995655,True,0.7859836732639987,0.1858121173514519,0.894054651260376,True,0.001953125,0.052133736899122596,0.004394500283524394,56.57421875,-0.8376221656799316,0.2895702123641968,4.024724960327148,0.7850300073623657,22,0.99609375
-0.00537111097946763,510,0.820113358076881,4.3071948313245585,True,0.7685330171211092,0.18862987167303802,0.9040450751781464,True,0.005859375,0.04899494699202478,0.005371109233237803,58.166015625,-0.8268235921859741,0.33456602692604065,4.3184895515441895,0.7697368860244751,23,0.99609375
